Potential,GSAslope,SS,FirstNorm,LastNorm,OrthogonalityDefect,Frobenius,TraceNorm,$L_{\infty}$-norm,DetOfLog
77050.295627,0.085021,814393065.329335,6816.384305,8814.820815,207.980112,82202.939704,491224.963503,78073.000000,-193.710914
77043.298132,0.084937,809244893.439270,6192.878733,8814.820815,208.036896,82290.562278,495260.041305,78073.000000,-192.219891
77034.454960,0.084831,800248597.990679,6192.878733,8814.820815,207.258995,81682.052925,496756.498495,78073.000000,-193.453875
77034.298137,0.084829,801686333.583349,6192.878733,8814.820815,206.844130,81368.640741,496457.601993,78073.000000,-193.430772
76992.391061,0.084326,762049766.614694,6192.878733,8814.820815,205.945447,80663.537562,497922.509764,78073.000000,-192.862069
76976.807611,0.084139,744738077.369394,5579.019986,8814.820815,205.472334,80388.855677,503364.580636,78073.000000,-192.292799
76950.257706,0.083820,721075293.048806,5579.019986,8814.820815,204.921017,79927.068412,503995.640491,78073.000000,-192.255514
76930.082393,0.083578,710523886.674547,5579.019986,8814.820815,203.863351,79111.312421,501961.387608,78073.000000,-192.111869
76915.220538,0.083400,700115317.792616,5579.019986,8814.820815,203.574911,78916.429202,502273.143301,78073.000000,-192.174167
76913.369888,0.083378,696492884.310305,5579.019986,8814.820815,202.584802,78254.757958,499635.020748,78073.000000,-192.347005
76893.480281,0.083139,690843270.750599,5579.019986,8814.820815,202.895158,78528.222188,501370.972062,78073.000000,-191.716472
76872.877786,0.082892,674526284.517084,5579.019986,8814.820815,202.134196,77857.251859,501014.885720,78073.000000,-191.879259
76871.430913,0.082874,676351376.316144,5579.019986,8814.820815,202.476634,78155.018111,501894.778331,78073.000000,-191.524267
76852.826953,0.082651,669069455.653567,5579.019986,8814.820815,202.072956,77876.410600,503962.085394,78073.000000,-191.567554
76842.727340,0.082530,662879185.259980,5579.019986,8814.820815,202.096526,77947.091915,504562.521097,78073.000000,-191.366669
76780.405722,0.081782,630405889.117001,5579.019986,8814.820815,199.362512,75892.829786,493872.060385,78073.000000,-191.785234
76772.262175,0.081684,627234085.009236,5579.019986,8814.820815,199.522107,76044.598776,496886.839873,78073.000000,-190.504862
76746.665044,0.081377,619178097.143092,5579.019986,8814.820815,199.515228,75971.810134,497132.121764,78073.000000,-191.150483
76728.708239,0.081161,615431577.863860,5579.019986,8814.820815,198.858973,75580.718110,495744.861816,78073.000000,-190.864516
76724.588780,0.081112,615502898.227501,5579.019986,8814.820815,198.038715,75011.775336,490990.432723,78073.000000,-191.004548
76682.476832,0.080607,605265127.421074,5579.019986,8814.820815,197.044530,74347.153792,486483.953783,78073.000000,-191.354877
76662.664101,0.080369,596378196.252257,5579.019986,8814.820815,197.077904,74383.414865,489646.083828,78073.000000,-191.860230
76647.475030,0.080187,594724914.687677,5579.019986,8814.820815,196.634016,74035.101763,487207.130125,78073.000000,-191.125077
76585.908732,0.079448,578753047.815800,5579.019986,8814.820815,196.327700,73760.990476,485413.571019,78073.000000,-191.802206
76592.413637,0.079526,579989449.272772,5579.019986,8814.820815,195.289364,73092.896755,482967.118824,78073.000000,-189.092394
76585.888996,0.079447,578017477.934349,5579.019986,8814.820815,195.980815,73467.812680,485753.755746,78073.000000,-190.444361
76576.075871,0.079330,576788656.902918,5579.019986,8814.820815,195.084581,72857.867180,482935.690976,78073.000000,-192.306202
76553.190682,0.079055,572293806.130167,5579.019986,8814.820815,195.060874,72848.032348,482889.563189,78073.000000,-189.583152
76523.546408,0.078699,566758394.555174,5579.019986,8814.820815,193.197557,71573.545120,476107.444211,78073.000000,-191.019047
